Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
4.72094,0.965529,0,0.272177,0.727823
0.690485,0.914528,0,0.213539,0.786461
4.65258,0.402049,0.00230901,0.997691,0
1.39382,0.992419,0,0.0481555,0.951844
0.178024,0.586838,0,0.757857,0.242143
5.20775,0.787997,0,1,0
4.06954,0.275402,0.0622118,0.937788,0
0.689739,0.676468,0,1,0
4.46568,0.944355,0,0.48743,0.51257
1.7766,0.981884,0,0.0914462,0.908554
2.51645,1.02029,0,0.0297403,0.97026
5.87994,0.711699,0,1,0
3.6696,1.04061,0,0.0636079,0.936392
4.77872,0.69375,0,1,0
4.04504,0.220157,0.187784,0.812216,0
1.80373,0.452934,0,1,0
2.82363,0.841291,0,1,0
4.8986,0.56613,0,1,0
0.877121,0.0292038,0.66171,0.33829,0
1.01323,0.983262,0,0.120083,0.879917
5.86482,1.0778,0,0,1
2.61158,0.0183915,0.863205,0.136795,0
1.10383,0.231398,0.179576,0.820424,0
1.51264,0.210773,0.171705,0.828295,0
0.498559,0.606992,0,1,0
2.86612,0.969038,0,0.140469,0.859531
3.98836,0.813721,0,1,0
4.39502,0.727186,0,1,0
0.487129,1.01127,0,0.0730058,0.926994
3.57974,0.797191,0,1,0
4.01139,0.0755057,0.800273,0.199727,0
1.71737,0.0389402,0.974577,0.0254232,0
2.46556,0.0466632,0.931565,0.0684352,0
3.21859,0.94839,0,0.292443,0.707557
1.67333,0.720504,0,1,0
1.2442,0.950185,0,0.125451,0.874549
2.30153,0.620866,0,1,0
1.72733,0.33386,0.132725,0.867275,0
2.60504,0.0362179,0.821637,0.178363,0
0.902067,0.347544,0.0127424,0.987258,0
1.9631,0.982857,0,0.0577897,0.94221
4.05695,1.00412,0,0.0928196,0.90718
1.43134,0.845566,0,0.909147,0.0908528
0.378211,0.893119,0,0.173656,0.826344
4.75819,0.848706,0,1,0
2.39308,0.103469,0.676339,0.323661,0
5.3213,0.163796,0.449859,0.550141,0
3.75176,0.0183768,0.921123,0.0788771,0
4.86019,0.357373,0,1,0
4.01597,0.341495,0.01344,0.98656,0
0.881956,0.426855,0.000470244,0.99953,0
0.630584,0.70671,0,0.967729,0.0322714
2.00916,0.460811,0,1,0
3.25295,0.452347,0,1,0
0.88099,0.36177,0.00645497,0.993545,0
4.40108,0.0470446,0.937548,0.0624517,0
2.85627,0.11219,0.733544,0.266456,0
2.52572,0.0417112,0.903261,0.0967388,0
4.02316,0.617451,0,1,0
0.875337,0.909513,0,0.489817,0.510183
2.16802,0.0202969,0.797095,0.202905,0
4.37594,1.01613,0,0.0938825,0.906117
3.04582,0.468338,0,1,0
0.0659001,0.28561,0.08121,0.749406,0.169384
4.36911,0.862827,0,0.997213,0.00278713
1.80464,1.01978,0,0.0802377,0.919762
3.7093,1.00368,0,0.0645512,0.935449
1.4206,0.531401,0,1,0
2.41411,0.0328921,0.894032,0.105968,0
0.561598,0.783131,0,0.643805,0.356195
1.42702,0.153529,0.539965,0.460035,0
0.786318,0.863987,0,0.411902,0.588098
4.04605,0.798069,0,1,0
3.89927,0.771293,0,1,0
0.866378,0.140339,0.326667,0.673333,0
0.729278,0.0872627,0.728506,0.271494,0
1.58072,0.311543,0.0477879,0.952212,0
3.90982,0.967422,0,0.158257,0.841743
4.87263,1.01244,0,0.0606776,0.939322
0.82588,0.73927,0,0.998365,0.00163508
1.94285,0.0117844,0.860084,0.139916,0
0.128197,0.688054,0,0.287922,0.712078
2.91917,0.55343,0,1,0
5.15457,1.0322,0,0,1
3.22042,0.924642,0,0.681379,0.318621
2.57246,0.167481,0.402149,0.597851,0
0.520845,0.0743871,0.864365,0.135635,0
5.61246,0.63983,0,1,0
2.60009,0.152591,0.433761,0.566239,0
1.27219,0.769654,0,1,0
0.718918,0.882865,0,0.253575,0.746425
1.68222,0.868403,0,0.817693,0.182307
0.815261,0.224878,0.0877,0.9123,0
2.83146,0.286055,0.0993817,0.900618,0
0.990474,0.394199,0.0129653,0.987035,0
0.855805,0.520587,0,1,0
2.8584,0.095126,0.856056,0.143944,0
5.5246,0.0981357,0.795604,0.204396,0
1.53371,0.469409,0,1,0
1.48147,0.597752,0,1,0
3.49211,0.192415,0.245428,0.754572,0
4.57663,0.826727,0,1,0
4.61282,0.209744,0.276722,0.723278,0
0.199091,0.242996,0.0950256,0.904974,0
0.168368,0.912272,0,0.162067,0.837933
2.87106,0.997421,0,0.101959,0.898041
4.75357,0.99114,0,0.116179,0.883821
1.50228,0.853996,0,0.719155,0.280845
3.48516,0.889138,0,0.9689,0.0310996
1.07345,1.01145,0,0.0686752,0.931325
1.44945,0.0408164,0.875589,0.124411,0
2.8148,0.117299,0.715802,0.284198,0
3.05448,0.430903,0,1,0
5.42352,0.991909,0,0.10972,0.89028
0.884598,0.473679,0.0014728,0.998527,0
5.39519,0.56711,0.00189181,0.998108,0
4.87445,0.245772,0.205541,0.794459,0
3.15546,0.479303,0,1,0
3.23499,0.97409,0,0.145417,0.854583
2.16082,0.638982,0,1,0
3.51656,0.627234,0,1,0
0.674602,0.0275145,0.868663,0.131337,0
5.46809,0.634555,0,1,0
2.92965,0.948571,0,0.295408,0.704592
5.18102,0.969352,0,0.28546,0.71454
2.65482,1.04123,0,0.0207722,0.979228
0.860652,0.938259,0,0.511015,0.488985
2.60727,0.714052,0,1,0
3.21994,0.933992,0,0.292443,0.707557
5.0403,0.732747,0,1,0
1.67304,0.0168885,0.920023,0.0799772,0
0.130269,0.35424,0.0406271,0.698023,0.26135
4.19032,0.656023,0,1,0
4.73576,0.657128,0,1,0
0.872277,0.995216,0,0.419391,0.580609
2.46953,0.175332,0.390633,0.609367,0
2.95655,0.977908,0,0.100926,0.899074
5.10714,0.416553,0,1,0
1.10313,0.436501,0,1,0
5.84831,0.613008,0,1,0
3.53191,0.550461,0,1,0
3.67466,0.223674,0.142596,0.857404,0
0.598268,0.863962,0,0.295646,0.704354
0.864814,0.769444,0,0.998316,0.00168382
5.85604,0.494651,0,1,0
1.79424,0.694699,0,1,0
5.24016,0.0624606,0.873058,0.126942,0
4.07537,0.94529,0,0.542409,0.457591
4.63551,0.966375,0,0.30863,0.69137
2.69065,1.05877,0,0.0751303,0.92487
5.24785,0.962971,0,0.309277,0.690723
5.57442,0.322998,0.0486547,0.951345,0
2.40905,0.132882,0.659161,0.340839,0
4.26885,0.9779,0,0.111219,0.888781
2.13882,0.795849,0,1,0
1.65678,0.90449,0,0.339216,0.660784
5.60661,0.7954,0,1,0
0.905058,0.934737,0,0.233355,0.766645
2.82713,0.0375087,0.918194,0.0818063,0
3.69797,0.874607,0,1,0
0.54248,0.89901,0,0.205589,0.794411
0.249867,0.428754,0.0196331,0.9658,0.0145669
2.55193,0.79416,0,1,0
3.62334,0.302449,0.0436908,0.956309,0
3.94008,0.302733,0.0344159,0.965584,0
